No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Components,Use standalone components,Angular 19 defaults to standalone architecture,Standalone components without NgModules,NgModules for new projects,@Component({ standalone: true }),@NgModule({ declarations: [MyComponent] }),High,https://angular.dev/guide/components
2,Components,Keep components focused,Single responsibility per component,One concern per component,Multi-purpose god components,@Component({ selector: 'app-user-avatar' }),500-line component with multiple concerns,Medium,https://angular.dev/guide/components
3,Components,Use OnPush change detection,OnPush for better performance with signals,OnPush with signals and immutable data,Default change detection everywhere,changeDetection: ChangeDetectionStrategy.OnPush,changeDetection: ChangeDetectionStrategy.Default,High,https://angular.dev/best-practices/runtime-performance
4,Components,Colocate component files,Keep template styles tests together,Component folder with related files,Separate folders for templates and styles,app/user/user.component.ts .html .scss .spec.ts,components/user.ts templates/user.html,Low,
5,Signals,Use signals for reactive state,Signals are Angular 19's primary reactivity primitive,signal() for component state,Traditional property binding for reactive data,count = signal(0); count.update(v => v + 1),count = 0; this.count++,High,https://angular.dev/guide/signals
6,Signals,Use computed for derived state,Computed signals automatically track dependencies,computed() for derived values,Manual recalculation in getters,total = computed(() => price() * quantity()),get total() { return this.price * this.quantity },High,https://angular.dev/guide/signals#computed-signals
7,Signals,Use effect for side effects,Effects run when signal dependencies change,effect() for side effects based on signals,ngOnChanges or manual subscriptions,effect(() => console.log(count())),ngOnChanges() for signal changes,Medium,https://angular.dev/guide/signals#effects
8,Signals,Avoid effects for derived state,Use computed not effect for calculations,computed() for derived values,effect() to set other signals,computed(() => a() + b()),effect(() => c.set(a() + b())),High,https://angular.dev/guide/signals#choosing-the-right-reactive-primitive
9,Signals,Interop with RxJS using toSignal,Convert observables to signals,toSignal() for observable to signal,Manual subscription management,data = toSignal(this.http.get(url)),this.http.get(url).subscribe(d => this.data = d),High,https://angular.dev/guide/signals/rxjs-interop
10,DI,Use inject function,Modern inject() function in constructors or field initializers,inject() for dependencies,Constructor injection everywhere,private http = inject(HttpClient),constructor(private http: HttpClient),Medium,https://angular.dev/guide/di/dependency-injection
11,DI,Provide services in root,providedIn: 'root' for singleton services,Root injection for app-wide services,Module providers,@Injectable({ providedIn: 'root' }),providers: [MyService] in module,High,https://angular.dev/guide/di/creating-injectable-service
12,DI,Use injection tokens,InjectionToken for non-class dependencies,InjectionToken for configuration,String tokens,export const API_URL = new InjectionToken<string>('apiUrl'),@Inject('apiUrl'),High,https://angular.dev/guide/di/dependency-injection-providers#using-an-injectiontoken-object
13,DI,Scope providers appropriately,Component-level for component-specific instances,Component providers for isolated state,Root providers for component state,@Component({ providers: [LocalService] }),All services in root,Medium,
14,Forms,Use reactive forms,Reactive forms for complex validation and dynamic forms,FormBuilder for form creation,Template-driven forms for complex scenarios,fb.group({ email: ['', Validators.required] }),<input [(ngModel)]="email">,High,https://angular.dev/guide/forms/reactive-forms
15,Forms,Type your forms,Use typed FormControl and FormGroup,Typed form controls,Untyped forms (deprecated),FormControl<string>(''),new FormControl('') // untyped,High,https://angular.dev/guide/forms/typed-forms
16,Forms,Use built-in validators,Built-in validators for common cases,Validators class for validation,Custom validators for common cases,Validators.required Validators.email,Custom email validator,Medium,https://angular.dev/guide/forms/form-validation
17,Forms,Create custom validators,Custom validator functions for business logic,ValidatorFn for reusable validation,Inline validation logic,export function customValidator(): ValidatorFn {},if (control.value...) in component,Medium,https://angular.dev/guide/forms/form-validation#defining-custom-validators
18,Forms,Handle async validation,AsyncValidator for server-side validation,debounceTime with async validators,Sync validation for async checks,asyncValidator: [uniqueEmailValidator()],Sync validator calling API,Medium,https://angular.dev/guide/forms/form-validation#implementing-a-custom-async-validator
19,Material,Use Material 3 components,Material 19 implements Material Design 3,Angular Material components,Custom component reimplementing Material,<mat-button>Click</mat-button>,<button class="custom-material-button">,High,https://material.angular.io/
20,Material,Apply Material theming,Use Material theming system,Theme customization with $theme,Hardcoded colors everywhere,@include mat.button-theme($theme),button { background: #3f51b5 },Medium,https://material.angular.io/guide/theming
21,Material,Use Material density,Adjust density for compact layouts,Density mixins for spacing,Manual padding adjustments,@include mat.button-density(-2),mat-button { padding: 4px !important },Low,https://material.angular.io/guide/theming#applying-density
22,Material,Import Material modules,Import only needed Material modules,Standalone imports or specific modules,Import entire MaterialModule,import { MatButtonModule } from '@angular/material/button',Import all Material modules,Medium,
23,Material,Use mat-form-field,Wrap Material inputs in mat-form-field,mat-form-field for Material inputs,Standalone Material inputs,<mat-form-field><input matInput></mat-form-field>,<input matInput> without form field,High,https://material.angular.io/components/form-field
24,Material,Use MatDialog properly,MatDialog service for modals,Inject MatDialog to open dialogs,DIY modal implementation,dialog.open(MyDialogComponent { data }),Custom modal overlay,Medium,https://material.angular.io/components/dialog
